,text
0,RT @NoPosco: @UNDP_India @PrakashJavdekar @moefcc @UNFCCC @UNBiodiversity @UNEP_AsiaPac @CITES @UNinIndia @WWFINDIA @UNDPasiapac @UNDPClima…
1,"किसान का गेहूँ 17 रुपए किलो और !

बाबा रामदेव का आटा 35 रुपये किलो ?

इतना भी स्वदेशी ना अपनाइये 
नही तो लुट जायेगे… https://t.co/mA76MVsWqF"
2,"ट्रैन में लोग क्यों मर रहे है? 
#indiarailways #indiafigthtscovid19 #narendramodi_primeminister #narendramodi… https://t.co/JBT9vD2gRL"
3,#nifty and #banknifty are #atmnirbhar now
4,RT @jaikumar_sharma: @santoshbjym Just by being #AtmNirbhar -&gt; be vocal about local is sufficient to counter China!
5,@santoshbjym Just by being #AtmNirbhar -&gt; be vocal about local is sufficient to counter China!
6,"एक प्रयास आत्मनिर्भरता कि और...VOCAL FOR LOCAL (Contact- 8411078484)

#आत्मनिर्भरता #AtmaNirbharBharatAbhiyan… https://t.co/Dh4F8kTGg6"
7,Modi or Amit shah ko maan jau me sir Mundwa lunga agar  jis din arkashan ki bheekh khatam ho jayegi #atmnirbhar bano sab
8,"My Friend Zeeshan Alam Just Got Terminated From His Job At Novotel, Bengaluru And Became an #Atmnirbhar Now.
2Cr Jo… https://t.co/MTuQLKpdCj"
9,"RT @cskkanu: Strong message for #GoldDigger #BloodSucker Women from @PMOIndia

#AtmNirbhar Bano 

Time to Scrap all the maintenance and ali…"
10,RT @chandan_samant: #FakeCases karne waliyo #GenderBiasedLaws ka misuse karne waliyo aur padhi likhi naukri karne layak lekin khud ko court…
11,RT @chandan_samant: #FakeCases #GenderBiasedLaws ka misuse karne wali aur padhi likhi naukri karne layak lekin khud ko adalat me abla nari…
12,RT @Arjun099999: we don't want any general promotion because we are #atmnirbhar but What if something happens to a student @narendramodi @C…
13,#Indiafightsback #PadegaIndia #study #Higherstudy #kanpur #fightagainstcorona Atlas Study Consultant- One stop solu… https://t.co/NmHwfYbT6r
14,RT @chandan_samant: #FakeCases #GenderBiasedLaws ka misuse karne wali aur padhi likhi naukri karne layak lekin khud ko adalat me abla nari…
15,RT @chandan_samant: #FakeCases karne waliyo #GenderBiasedLaws ka misuse karne waliyo aur padhi likhi naukri karne layak lekin khud ko court…
16,"@TimesNow @BJP4India @ShivSena @INCIndia @thenewshour Don't try to topple any more state govt, try to be #AtmNirbhar"
17,@imvivekgupta @raydeep @amitabhnews18 @ReporterVikrant Mere samajh me ye baat nhi aati agar CM fail to rastpati sha… https://t.co/ABeK95O1fc
18,we don't want any general promotion because we are #atmnirbhar but What if something happens to a student… https://t.co/TTOs2SbsWx
19,"@WeekendInvestng Indian version

#atmnirbhar bharath hearing test. https://t.co/b1Mna2va3A"
20,RT @imbesatahmad: 6000+ new cases every day for last 5 days. It's clear lockdown wasn't efficient. Mostly slow rate of initial days testing…
21,6000+ new cases every day for last 5 days. It's clear lockdown wasn't efficient. Mostly slow rate of initial days t… https://t.co/KdUZuONJU2
22,"ट्रैन की #आत्मनिर्भर वाली हालात का अंदाज़ा इस बात से लगाया जाए
60 सालों में कभी ट्रेन भटकने की ख़बर नही आई, बात जब… https://t.co/3Eer7zY0LR"
23,"जनता को बेवकूफ बनाने में मीडिया इतनी #आत्मनिर्भर हो चुकी है कि कुछ भी उठा के छाप देते हैं।
#AtmNirbhar… https://t.co/MbPA4l1Tsy"
24,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
25,"Migrant on Shramik Express dies hungry 
But who says #AtmNirbhar India is not #ShiningIndia ?

Look at the floor of… https://t.co/4SztZSUW3a"
26,"@ssoniisshh1 Modiji k baad, Sonuji aur ab media ne bhi  bin bole keh diya #AtmNirbhar  bano.."
27,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
28,RT @Manojbijrothiya: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use technician ki bhi jarurat na…
29,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
30,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
31,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
32,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
33,@drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use technician ki bhi jarurat… https://t.co/ziEURupTbb
34,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
35,RT @BhansaRathore: #atmnirbhar  #आत्मनिर्भर इस शब्द को हक़ीक़त में बदलना भी जरूरी है #GraminBank  को sponsored banks से आज़ाद करना जरूरी है…
36,@myogioffice @smritiirani @rautsanjay61 Aisa lgta hai yogiji ke up me koi rojgar hai hi nhi isliye up valo ko idhar… https://t.co/pvtV4xea0B
37,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
38,#atmnirbhar  #आत्मनिर्भर इस शब्द को हक़ीक़त में बदलना भी जरूरी है #GraminBank  को sponsored banks से आज़ाद करना जरू… https://t.co/5xgfJld42u
39,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
40,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
41,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
42,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
43,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
44,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
45,RT @mayankvnmp: @drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat nahi. C…
46,@drmncrald @GMNCR1 hmari joining kb hogi sir..... railway etna #atmnirbhar ban gya ki use Loco pilot ki bhi jarurat… https://t.co/QPbbwDOZo2
47,"@sagarikaghose You mean all Indians should work in UAE like slaves leaving their parents, family members in India.… https://t.co/xPFWcPtgwj"
48,"Did he just declared under states to be #atmnirbhar ? 
Will it be a boom for other states? States like Maharashtra… https://t.co/vhtmhQVQi6"
49,#atmnirbhar #bharat https://t.co/xSIiVZJqnH
50,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
51,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
52,RT @chandan_samant: #FakeCases karne waliyo #GenderBiasedLaws ka misuse karne waliyo aur padhi likhi naukri karne layak lekin khud ko court…
53,#Atmnirbhar bne aur akele khele🔥 Peace ✌️ https://t.co/jmJja0VDut
54,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
55,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
56,"RT @VtvGujarati: Audio / રાજકોટ: ભાજપના નેતા જેન્તિ ઢોલની ઓડિયો ક્લિપ વાયરલ, આત્મનિર્ભર ગુજરાત યોજનાને કહી ખોટી

#atmnirbhar #CMrupani #Cov…"
57,"RT @VtvGujarati: Audio / રાજકોટ: ભાજપના નેતા જેન્તિ ઢોલની ઓડિયો ક્લિપ વાયરલ, આત્મનિર્ભર ગુજરાત યોજનાને કહી ખોટી

#atmnirbhar #CMrupani #Cov…"
58,RT @NoPosco: @UNDP_India @PrakashJavdekar @moefcc @UNFCCC @UNBiodiversity @UNEP_AsiaPac @CITES @UNinIndia @WWFINDIA @UNDPasiapac @UNDPClima…
59,#atmnirbhar
60,"RT @VtvGujarati: Audio / રાજકોટ: ભાજપના નેતા જેન્તિ ઢોલની ઓડિયો ક્લિપ વાયરલ, આત્મનિર્ભર ગુજરાત યોજનાને કહી ખોટી

#atmnirbhar #CMrupani #Cov…"
61,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
62,"RT @VtvGujarati: Audio / રાજકોટ: ભાજપના નેતા જેન્તિ ઢોલની ઓડિયો ક્લિપ વાયરલ, આત્મનિર્ભર ગુજરાત યોજનાને કહી ખોટી

#atmnirbhar #CMrupani #Cov…"
63,"RT @VtvGujarati: Audio / રાજકોટ: ભાજપના નેતા જેન્તિ ઢોલની ઓડિયો ક્લિપ વાયરલ, આત્મનિર્ભર ગુજરાત યોજનાને કહી ખોટી

#atmnirbhar #CMrupani #Cov…"
64,"RT @VtvGujarati: Audio / રાજકોટ: ભાજપના નેતા જેન્તિ ઢોલની ઓડિયો ક્લિપ વાયરલ, આત્મનિર્ભર ગુજરાત યોજનાને કહી ખોટી

#atmnirbhar #CMrupani #Cov…"
65,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
66,"Audio / રાજકોટ: ભાજપના નેતા જેન્તિ ઢોલની ઓડિયો ક્લિપ વાયરલ, આત્મનિર્ભર ગુજરાત યોજનાને કહી ખોટી

#atmnirbhar… https://t.co/xQZcGSRPBz"
67,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
68,"@Shivgad @ArvindKejriwal Bhosdi valo Modi hai Pakistani madarchodo sudhrr jaao, tumhara bap China= Sikkim, Arunacha… https://t.co/TVimZYceff"
69,"RT @cskkanu: Strong message for #GoldDigger #BloodSucker Women from @PMOIndia

#AtmNirbhar Bano 

Time to Scrap all the maintenance and ali…"
70,RT @chandan_samant: #FakeCases karne waliyo #GenderBiasedLaws ka misuse karne waliyo aur padhi likhi naukri karne layak lekin khud ko court…
71,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
72,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
73,RT @IndiaHistorypic: In 1956 Govt of India Established Heavy Electricals (India) Limited (HE(I)L) to Make India Self Reliant ( #atmnirbhar…
74,@AshaAsserts #Atmnirbhar  hebi
75,"@Amiti14 Its an empty word like PSEUDOSECULARISM , Liberal Gang or all such monikers 

It has been proven way back… https://t.co/notaUsw2i5"
76,@PoojaBa66182507 @Gu_Darshan_News @Aak_Thu @a_roflTiwari @Tadipaar_HM @ashahadm @dikhavticolonel @bhakt_videshi… https://t.co/eMdTCgEc8a
77,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
78,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
79,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
80,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
81,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
82,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
83,"Amazon, Flipkart, Snapdeal, Myntra &amp; Paytm  should add a ""Made-In-India"" filter to help customers discover and buy… https://t.co/fpEIPsMBYd"
84,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
85,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
86,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
87,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
88,"#AnilAmbani #COVID19Pandemic #rafel 
#atmnirbhar @tusharcosmoo_g
@sagarikaghose @guardian @PawarSpeaks… https://t.co/jEatdJHfPo"
89,"RT @BMynation: Why able, educated, deserting, abusive women need maintenance?

#atmnirbhar bano #women https://t.co/ktINWVgSFd"
90,"RT @BMynation: Why able, educated, deserting, abusive women need maintenance?

#atmnirbhar bano #women https://t.co/ktINWVgSFd"
91,"adhi zindgi baap ki nazro me chutiya tha .
ab adhi zindgi bete ki nzro me chutiya ni rhna 
          - Hathiram cha… https://t.co/vPMtSgpBO9"
92,"RT @BMynation: Why able, educated, deserting, abusive women need maintenance?

#atmnirbhar bano #women https://t.co/ktINWVgSFd"
93,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
94,If you think everything is normal! People like Tilak Raj ji are facing lots of troubles to earn their livelihood. H… https://t.co/iYG8Z178ka
95,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
96,RT @kunfaaya: Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
97,Sacch hi hoga. He made Indian trains so #Atmnirbhar that a train scheduled for Gorakhpur reaches Rourkela.
98,RT @NoPosco: @UNDP_India @PrakashJavdekar @moefcc @UNFCCC @UNBiodiversity @UNEP_AsiaPac @CITES @UNinIndia @WWFINDIA @UNDPasiapac @UNDPClima…
99,RT @NoPosco: @UNDP_India @PrakashJavdekar @moefcc @UNFCCC @UNBiodiversity @UNEP_AsiaPac @CITES @UNinIndia @WWFINDIA @UNDPasiapac @UNDPClima…
100,@GargiRawat @ritvick_ab @LangaMahesh @WesternRly #AtmNirbhar Train...
101,RT @NoPosco: @UNDP_India @PrakashJavdekar @moefcc @UNFCCC @UNBiodiversity @UNEP_AsiaPac @CITES @UNinIndia @WWFINDIA @UNDPasiapac @UNDPClima…
102,RT @chandan_samant: #FakeCases karne waliyo #GenderBiasedLaws ka misuse karne waliyo aur padhi likhi naukri karne layak lekin khud ko court…
103,@UNDP_India @PrakashJavdekar @moefcc @UNFCCC @UNBiodiversity @UNEP_AsiaPac @CITES @UNinIndia @WWFINDIA @UNDPasiapac… https://t.co/pC03vy7MAe
104,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
105,"#GTU
#mocktest
#atmnirbhar
Kaisa iska majak? https://t.co/j9585JunJ1"
106,"RT @amitkaggarwal8: Aise me jab #CoronaPandemic se puri duniya tabah ho rhi hai, to ek #chaiwale #fakir ne kaha k desh ko #atmnirbhar banan…"
107,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
108,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
109,"I think this is the best time for Anil Ambani to become #atmnirbhar..
Anyway, Modi ji is busy https://t.co/3S2dn6lGVL"
110,@imskasana @Ajaybis @IndiainToronto Be #atmnirbhar
111,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
112,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
113,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
114,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
115,"@anasinbox Lagta hai modi ji ki bat ko apne seriously le liya
#Atmnirbhar"
116,"People says "" i am atmnirbhar""
But fact is 
""They are aai-bap-varnirbhar""✌️
#atmnirbhar #imatmnirbhar"
117,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
118,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
119,"Aise me jab #CoronaPandemic se puri duniya tabah ho rhi hai, to ek #chaiwale #fakir ne kaha k desh ko #atmnirbhar b… https://t.co/lHczsVlEzk"
120,"Fuck everything
Kuch nhi chahida apun #atmnirbhar hai.😪 https://t.co/StXroGSbQu"
121,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
122,RT @IndiaHistorypic: In 1956 Govt of India Established Heavy Electricals (India) Limited (HE(I)L) to Make India Self Reliant ( #atmnirbhar…
123,RT @InderBirKaur60: @cskkanu @PMOIndia @vaastavngo @sifchandigarh @MensDayOutIndia @InsaafNGO @MenWelfare @sifbhopal @sifngp @SFFNGO @Daama…
124,RT @chandan_samant: #FakeCases #GenderBiasedLaws ka misuse karne wali aur padhi likhi naukri karne layak lekin khud ko adalat me abla nari…
125,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
126,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
127,@jha_milind #atmnirbhar
128,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
129,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
130,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
131,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
132,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
133,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
134,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
135,"@ReallySwara @ashokepandit budhau sethiya gaye hn inka ilaaj zaruri hai 😂😂😂
Are o chacha #atmnirbhar bno kahe kisi… https://t.co/g8JJ3hlBpk"
136,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
137,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
138,"Vidyarthi ki Pahchaan Khairaat nhi, #AtmNirbhar ta h!
Aaj ka Vidyarthi Dan se nhi, Pariksha aur Gyaan se h bdhega!… https://t.co/8qhzdodCS4"
139,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
140,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
141,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
142,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
143,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
144,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
145,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
146,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
147,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
148,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
149,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
150,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
151,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
152,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
153,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
154,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
155,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
156,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
157,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
158,"RT @Mann_Banarasiya: PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still wi…"
159,"PM @narendramodi ji announced Rs 1,000 crore as IMMEDIATE RELIEF FUND to Amphan-affected West Bengal.
Are you still… https://t.co/oyLMdvTopi"
160,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
161,As per situation and circumstances the first thought came in my mind to become atmnirbhar is to start farming I sal… https://t.co/zWkyY4KtWX
162,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
163,RT @abhishaek: @5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep rooted se…
164,@5Forty3 #Atmnirbhar is being turned into a dirty word now and jokes are being invented using it. This is the deep… https://t.co/fD3WHxKJsl
165,RT @chandan_samant: #FakeCases #GenderBiasedLaws ka misuse karne wali aur padhi likhi naukri karne layak lekin khud ko adalat me abla nari…
166,#Atmnirbhar bano #selfish nahi https://t.co/aFuEal22ky
167,"@nofil_tweets Gala dabao

#atmnirbhar baniye"
168,RT @chandan_samant: #FakeCases karne waliyo #GenderBiasedLaws ka misuse karne waliyo aur padhi likhi naukri karne layak lekin khud ko court…
169,"@HardeepSPuri #Atmnirbhar In wake of clarion call of PM, let GOI should think to change number pattern of Aircrafts… https://t.co/Q418IxLaLS"
170,"RT @Cutex_Khushi: @RadhaRai28 Be good for no reason and don't expect anything from anyone 
Means #Atmnirbhar bano 😂"
171,"@RadhaRai28 Be good for no reason and don't expect anything from anyone 
Means #Atmnirbhar bano 😂"
172,"RT @cskkanu: Strong message for #GoldDigger #BloodSucker Women from @PMOIndia

#AtmNirbhar Bano 

Time to Scrap all the maintenance and ali…"
173,@chitraaum Dono party kyu isme congress ka kya hath hai jo bjp ne bus manga congress ne diy jo bs khrb hai usko hat… https://t.co/KiHYMYaozI
174,RT @chandan_samant: #FakeCases #GenderBiasedLaws ka misuse karne wali aur padhi likhi naukri karne layak lekin khud ko adalat me abla nari…
175,RT @chandan_samant: #FakeCases karne waliyo #GenderBiasedLaws ka misuse karne waliyo aur padhi likhi naukri karne layak lekin khud ko court…
176,hum sath milkar corona se ladenge https://t.co/IW2WsNwo7j #gofunjoke #gofunjokes #chutkule #chutkulehindi… https://t.co/QNoGwsfBkC
177,@narendramodi We want to be #atmnirbhar so restablish #industryinbihar  to generate #IndianEconomy and at this time… https://t.co/pUiQpuYFWn
178,"@Vaidsudhir2 Good support to shining india,2019+++,
our,#moral,&amp;,#Technical support is always there to,
#pm,#india,… https://t.co/52KhBWXsac"
